Parameters (Description)
^vma013^              Ch2 Humidity Month Avg
^vya013^              Ch2 Humidity Year Avg
^vvr013^              Ch2 Humidity Rate
^vrh013^              Ch2 Humidity Rate Hi
^vrt013^              Ch2 Humidity Rate Hi Time
^vrl013^              Ch2 Humidity Rate Lo
^vrs013^              Ch2 Humidity Rate Lo Time
^vmh013^              Ch2 Humidity Monthly Hi
^vmd013^              Ch2 Humidity Monthly Hi Date
^vml013^              Ch2 Humidity Monthly Lo
^vme013^              Ch2 Humidity Monthly Lo Date
^vyh013^              Ch2 Humidity Yearly Hi
^vyd013^              Ch2 Humidity Yearly Hi Date
^vyl013^              Ch2 Humidity Yearly Lo
^vye013^              Ch2 Humidity Yearly Lo Date
^vzh013^              Ch2 Humidity Yesterday Hi
^vzt013^              Ch2 Humidity Yesterday Hi Time
^vzs013^              Ch2 Humidity Yesterday Lo Time
^vhv013^              Ch2 Humidity 24hours ago
^vdv013^              Ch2 Humidity 24hour difference
^uni013^              Ch2 Humidity Units
^vxv014^              Ch 3 Temp
^vhi014^              Ch 3 Temp Daily Hi
^vht014^              Ch 3 Temp Daily Hi Time
^vlo014^              Ch 3 Temp Daily Lo
^vlt014^              Ch 3 Temp Daily Lo Time
^vva014^              Ch 3 Temp Running Average
^vda014^              Ch 3 Temp Daily Avg
^vma014^              Ch 3 Temp Month Avg
^vya014^              Ch 3 Temp Year Avg
^vvr014^              Ch 3 Temp Rate
^vrh014^              Ch 3 Temp Rate Hi
^vrt014^              Ch 3 Temp Rate Hi Time
^vrl014^              Ch 3 Temp Rate Lo
^vrs014^              Ch 3 Temp Rate Lo Time
^vmh014^              Ch 3 Temp Monthly Hi
^vmd014^              Ch 3 Temp Monthly Hi Date
^vml014^              Ch 3 Temp Monthly Lo
^vme014^              Ch 3 Temp Monthly Lo Date
^vyh014^              Ch 3 Temp Yearly Hi
^vyd014^              Ch 3 Temp Yearly Hi Date
^vyl014^              Ch 3 Temp Yearly Lo
^vye014^              Ch 3 Temp Yearly Lo Date
^vzh014^              Ch 3 Temp Yesterday Hi
^vzt014^              Ch 3 Temp Yesterday Hi Time
^vzs014^              Ch 3 Temp Yesterday Lo Time
^vhv014^              Ch 3 Temp 24hours ago
^vdv014^              Ch 3 Temp 24hour difference
^uni014^              Ch 3 Temp Units
^vxv015^              Ch 3 Humidity
^vhi015^              Ch 3 Humidity Daily Hi
^vht015^              Ch 3 Humidity Daily Hi Time
^vlo015^              Ch 3 Humidity Daily Lo
^vlt015^              Ch 3 Humidity Daily Lo Time
^vva015^              Ch 3 Humidity Running Average
^vda015^              Ch 3 Humidity Daily Avg
^vma015^              Ch 3 Humidity Month Avg
^vya015^              Ch 3 Humidity Year Avg
^vvr015^              Ch 3 Humidity Rate
^vrh015^              Ch 3 Humidity Rate Hi
^vrt015^              Ch 3 Humidity Rate Hi Time
^vrl015^              Ch 3 Humidity Rate Lo
^vrs015^              Ch 3 Humidity Rate Lo Time
^vmh015^              Ch 3 Humidity Monthly Hi
^vmd015^              Ch 3 Humidity Monthly Hi Date
^vml015^              Ch 3 Humidity Monthly Lo
^vme015^              Ch 3 Humidity Monthly Lo Date
^vyh015^              Ch 3 Humidity Yearly Hi
^vyd015^              Ch 3 Humidity Yearly Hi Date
^vyl015^              Ch 3 Humidity Yearly Lo
^vye015^              Ch 3 Humidity Yearly Lo Date
^vzh015^              Ch 3 Humidity Yesterday Hi
^vzt015^              Ch 3 Humidity Yesterday Hi Time
^vzs015^              Ch 3 Humidity Yesterday Lo Time
^vhv015^              Ch 3 Humidity 24hours ago
^vdv015^              Ch 3 Humidity 24hour difference
^uni015^              Ch 3 Humidity Units
^vxv016^              Evapotranspiration
^vhi016^              Evapotranspiration Daily Hi
^vht016^              Evapotranspiration Daily Hi Time
^vlo016^              Evapotranspiration Daily Lo
^vlt016^              Evapotranspiration Daily Lo Time
^vva016^              Evapotranspiration Running Average
^vda016^              Evapotranspiration Daily Avg
^vma016^              Evapotranspiration Month Avg
^vya016^              Evapotranspiration Year Avg
^vvr016^              Evapotranspiration Rate
^vrh016^              Evapotranspiration Rate Hi
^vrt016^              Evapotranspiration Rate Hi Time
^vrl016^              Evapotranspiration Rate Lo
^vrs016^              Evapotranspiration Rate Lo Time
^vmh016^              Evapotranspiration Monthly Hi
^vmd016^              Evapotranspiration Monthly Hi Date
^vml016^              Evapotranspiration Monthly Lo
^vme016^              Evapotranspiration Monthly Lo Date
^vyh016^              Evapotranspiration Yearly Hi
^vyd016^              Evapotranspiration Yearly Hi Date
^vyl016^              Evapotranspiration Yearly Lo
^vye016^              Evapotranspiration Yearly Lo Date
^vzh016^              Evapotranspiration Yesterday Hi
^vzt016^              Evapotranspiration Yesterday Hi Time
^vzs016^              Evapotranspiration Yesterday Lo Time
^vhv016^              Evapotranspiration 24hours ago
^vdv016^              Evapotranspiration 24hour difference
^uni016^              Evapotranspiration Units
^vxv017^              UV Index
^vhi017^              UV Index Daily Hi
^vht017^              UV Index Daily Hi Time
^vlo017^              UV Index Daily Lo
^vlt017^              UV Index Daily Lo Time
^vva017^              UV Index Running Average
^vda017^              UV Index Daily Avg
^vma017^              UV Index Month Avg
^vya017^              UV Index Year Avg
^vvr017^              UV Index Rate
^vrh017^              UV Index Rate Hi
^vrt017^              UV Index Rate Hi Time
^vrl017^              UV Index Rate Lo
^vrs017^              UV Index Rate Lo Time
^vmh017^              UV Index Monthly Hi
^vmd017^              UV Index Monthly Hi Date
^vml017^              UV Index Monthly Lo
^vme017^              UV Index Monthly Lo Date
^vyh017^              UV Index Yearly Hi
^vyd017^              UV Index Yearly Hi Date
^vyl017^              UV Index Yearly Lo
^vye017^              UV Index Yearly Lo Date
^vzh017^              UV Index Yesterday Hi
^vzt017^              UV Index Yesterday Hi Time
^vzs017^              UV Index Yesterday Lo Time
^vhv017^              UV Index 24hours ago
^vdv017^              UV Index 24hour difference
^uni017^              UV Index Units
^vxv018^              Solar Radiation
^vhi018^              Solar Radiation Daily Hi
^vht018^              Solar Radiation Daily Hi Time
^vlo018^              Solar Radiation Daily Lo
^vlt018^              Solar Radiation Daily Lo Time
^vva018^              Solar Radiation Running Average
^vda018^              Solar Radiation Daily Avg
^vma018^              Solar Radiation Month Avg
^vya018^              Solar Radiation Year Avg
^vvr018^              Solar Radiation Rate
^vrh018^              Solar Radiation Rate Hi
^vrt018^              Solar Radiation Rate Hi Time
^vrl018^              Solar Radiation Rate Lo
^vrs018^              Solar Radiation Rate Lo Time
^vmh018^              Solar Radiation Monthly Hi
^vmd018^              Solar Radiation Monthly Hi Date
^vml018^              Solar Radiation Monthly Lo
^vme018^              Solar Radiation Monthly Lo Date
^vyh018^              Solar Radiation Yearly Hi
^vyd018^              Solar Radiation Yearly Hi Date
^vyl018^              Solar Radiation Yearly Lo
^vye018^              Solar Radiation Yearly Lo Date
^vzh018^              Solar Radiation Yesterday Hi
^vzt018^              Solar Radiation Yesterday Hi Time
^vzs018^              Solar Radiation Yesterday Lo Time
^vhv018^              Solar Radiation 24hours ago
^vdv018^              Solar Radiation 24hour difference
^uni018^              Solar Radiation Units
^vxv019^              Wind Chill
^vhi019^              Wind Chill Daily Hi
^vht019^              Wind Chill Daily Hi Time
^vlo019^              Wind Chill Daily Lo
^vlt019^              Wind Chill Daily Lo Time
^vva019^              Wind Chill Running Average
^vda019^              Wind Chill Daily Avg
^vma019^              Wind Chill Month Avg
^vya019^              Wind Chill Year Avg
^vvr019^              Wind Chill Rate
^vrh019^              Wind Chill Rate Hi
^vrt019^              Wind Chill Rate Hi Time
^vrl019^              Wind Chill Rate Lo
^vrs019^              Wind Chill Rate Lo Time
^vmh019^              Wind Chill Monthly Hi
^vmd019^              Wind Chill Monthly Hi Date
